"sample_id","cell_type","technology","M1","M2_A","M2_B"
"human3_lib1.final_cell_0004","acinar","inDrop3",0.496841377035852,0.460198604699178,0.455305901410872
"human3_lib1.final_cell_0008","acinar","inDrop3",0.508083861449351,0.479587492880196,0.45530211740823
"human3_lib1.final_cell_0012","acinar","inDrop3",0.510063756513875,0.488750642542007,0.45535619408826
"human3_lib1.final_cell_0014","acinar","inDrop3",0.506779547231614,0.479031346136585,0.455549542188868
"human3_lib1.final_cell_0016","acinar","inDrop3",0.572107683414468,0.609838743123005,0.455380004972763
"human3_lib1.final_cell_0019","acinar","inDrop3",0.510580642685077,0.489693265593835,0.455417476261914
"human3_lib1.final_cell_0021","acinar","inDrop3",0.512348391646462,0.491061608498726,0.455391593235089
"human3_lib1.final_cell_0022","acinar","inDrop3",0.568733655651269,0.588129492523409,0.455444720597524
"human3_lib1.final_cell_0027","acinar","inDrop3",0.527051547810332,0.505469103294404,0.455356627774742
"human3_lib1.final_cell_0028","delta","inDrop3",0.979591871099423,0.979591840876406,0.455372650425725
"human3_lib1.final_cell_0029","acinar","inDrop3",0.513252279629701,0.490558987406638,0.455298912236371
"human3_lib1.final_cell_0030","delta","inDrop3",0.97959183715523,0.979591829612203,0.45533411422977
"human3_lib1.final_cell_0033","acinar","inDrop3",0.566049901398383,0.567220622341393,0.45522206765547
"human3_lib1.final_cell_0034","acinar","inDrop3",0.513873126760115,0.491756256742484,0.455317007917619
"human3_lib1.final_cell_0036","acinar","inDrop3",0.511657283775548,0.491323897430927,0.455446099290689
"human3_lib1.final_cell_0039","delta","inDrop3",0.979591831309373,0.979591703658417,0.455403039461933
"human3_lib1.final_cell_0046","acinar","inDrop3",0.500325338721855,0.46625503012043,0.455520882594105
"human3_lib1.final_cell_0048","ductal","inDrop3",0.959184173960982,0.9591836903007,0.455140693747392
"human3_lib1.final_cell_0054","acinar","inDrop3",0.574171508912657,0.60926724501036,0.455623171341877
"human3_lib1.final_cell_0059","acinar","inDrop3",0.518276293371368,0.496026801990271,0.455304303040013
"human3_lib1.final_cell_0060","acinar","inDrop3",0.569126207339319,0.588395538238125,0.455297844068055
"human3_lib1.final_cell_0061","acinar","inDrop3",0.541900483080924,0.520572322208812,0.455258402408502
"human3_lib1.final_cell_0063","acinar","inDrop3",0.511593033129017,0.49030879376861,0.45534336752814
"human3_lib1.final_cell_0071","endothelial","inDrop3",1.71643104572134e-39,0.061224496334183,0.959183620843274
"human3_lib1.final_cell_0074","acinar","inDrop3",0.584097018260296,0.614150857950807,0.455532746835429
"human3_lib1.final_cell_0080","acinar","inDrop3",0.568445663039154,0.590371146657969,0.455270034056645
"human3_lib1.final_cell_0082","acinar","inDrop3",0.511205392380838,0.490464821609365,0.455281196535583
"human3_lib1.final_cell_0088","activated_stellate","inDrop3",0.0819563856011137,0.183682222989129,0.457928000835949
"human3_lib1.final_cell_0089","acinar","inDrop3",0.545602597770138,0.522881441570245,0.455306005393271
"human3_lib1.final_cell_0091","delta","inDrop3",0.938775510190464,0.938488308055719,0.455367222511882
"human3_lib1.final_cell_0092","acinar","inDrop3",0.557994077746735,0.549489572458808,0.455516835384771
"human3_lib1.final_cell_0100","beta","inDrop3",0.896837627703981,0.857167567569583,0.455393055073717
"human3_lib1.final_cell_0103","alpha","inDrop3",0.836283702858229,0.694293765796949,0.455413638713702
"human3_lib1.final_cell_0108","acinar","inDrop3",0.567305233916316,0.579723140214975,0.455635450736697
"human3_lib1.final_cell_0116","acinar","inDrop3",0.552568511727736,0.542783727668764,0.455567366936942
"human3_lib1.final_cell_0119","acinar","inDrop3",0.508539223211979,0.485525407842324,0.455373998004475
"human3_lib1.final_cell_0122","beta","inDrop3",0.897957998593593,0.871534767964966,0.456887107620969
"human3_lib1.final_cell_0128","delta","inDrop3",0.959183677083682,0.959183013089909,0.455329485454008
"human3_lib1.final_cell_0136","delta","inDrop3",0.999999999443591,0.999999992376386,0.455316944616268
"human3_lib1.final_cell_0142","activated_stellate","inDrop3",0.061228406686596,0.163266008251251,0.455928981330715
"human3_lib1.final_cell_0157","activated_stellate","inDrop3",0.0818080011813639,0.183675148849281,0.45570719118369
"human3_lib1.final_cell_0161","acinar","inDrop3",0.57340944944767,0.610150727091325,0.455315953062135
"human3_lib1.final_cell_0168","acinar","inDrop3",0.60425207567403,0.623057356991523,0.455404459596658
"human3_lib1.final_cell_0171","alpha","inDrop3",0.836414673336763,0.756643371475752,0.455378427425135
"human3_lib1.final_cell_0174","acinar","inDrop3",0.540536109604997,0.512646000083747,0.455408230950948
"human3_lib1.final_cell_0181","acinar","inDrop3",0.520269145530311,0.496414665922253,0.455451856881477
"human3_lib1.final_cell_0193","delta","inDrop3",0.97958695364212,0.979503471357756,0.455487672078758
"human3_lib1.final_cell_0194","delta","inDrop3",0.939146370759874,0.938775621872491,0.455398045323421
"human3_lib1.final_cell_0196","acinar","inDrop3",0.58300250428853,0.614061021633628,0.455318704144265
