"sample_id","cell_type","technology"
"human3_lib1.final_cell_0004","acinar","inDrop3"
"human3_lib1.final_cell_0008","acinar","inDrop3"
"human3_lib1.final_cell_0012","acinar","inDrop3"
"human3_lib1.final_cell_0014","acinar","inDrop3"
"human3_lib1.final_cell_0016","acinar","inDrop3"
"human3_lib1.final_cell_0019","acinar","inDrop3"
"human3_lib1.final_cell_0021","acinar","inDrop3"
"human3_lib1.final_cell_0022","acinar","inDrop3"
"human3_lib1.final_cell_0027","acinar","inDrop3"
"human3_lib1.final_cell_0028","delta","inDrop3"
"human3_lib1.final_cell_0029","acinar","inDrop3"
"human3_lib1.final_cell_0030","delta","inDrop3"
"human3_lib1.final_cell_0033","acinar","inDrop3"
"human3_lib1.final_cell_0034","acinar","inDrop3"
"human3_lib1.final_cell_0036","acinar","inDrop3"
"human3_lib1.final_cell_0039","delta","inDrop3"
"human3_lib1.final_cell_0046","acinar","inDrop3"
"human3_lib1.final_cell_0048","ductal","inDrop3"
"human3_lib1.final_cell_0054","acinar","inDrop3"
"human3_lib1.final_cell_0059","acinar","inDrop3"
"human3_lib1.final_cell_0060","acinar","inDrop3"
"human3_lib1.final_cell_0061","acinar","inDrop3"
"human3_lib1.final_cell_0063","acinar","inDrop3"
"human3_lib1.final_cell_0071","endothelial","inDrop3"
"human3_lib1.final_cell_0074","acinar","inDrop3"
"human3_lib1.final_cell_0080","acinar","inDrop3"
"human3_lib1.final_cell_0082","acinar","inDrop3"
"human3_lib1.final_cell_0088","activated_stellate","inDrop3"
"human3_lib1.final_cell_0089","acinar","inDrop3"
"human3_lib1.final_cell_0091","delta","inDrop3"
"human3_lib1.final_cell_0092","acinar","inDrop3"
"human3_lib1.final_cell_0100","beta","inDrop3"
"human3_lib1.final_cell_0103","alpha","inDrop3"
"human3_lib1.final_cell_0108","acinar","inDrop3"
"human3_lib1.final_cell_0116","acinar","inDrop3"
"human3_lib1.final_cell_0119","acinar","inDrop3"
"human3_lib1.final_cell_0122","beta","inDrop3"
"human3_lib1.final_cell_0128","delta","inDrop3"
"human3_lib1.final_cell_0136","delta","inDrop3"
"human3_lib1.final_cell_0142","activated_stellate","inDrop3"
"human3_lib1.final_cell_0157","activated_stellate","inDrop3"
"human3_lib1.final_cell_0161","acinar","inDrop3"
"human3_lib1.final_cell_0168","acinar","inDrop3"
"human3_lib1.final_cell_0171","alpha","inDrop3"
"human3_lib1.final_cell_0174","acinar","inDrop3"
"human3_lib1.final_cell_0181","acinar","inDrop3"
"human3_lib1.final_cell_0193","delta","inDrop3"
"human3_lib1.final_cell_0194","delta","inDrop3"
"human3_lib1.final_cell_0196","acinar","inDrop3"
"human3_lib1.final_cell_0199","beta","inDrop3"
"human3_lib1.final_cell_0204","acinar","inDrop3"
"human3_lib1.final_cell_0217","delta","inDrop3"
"human3_lib1.final_cell_0220","acinar","inDrop3"
"human3_lib1.final_cell_0226","beta","inDrop3"
"human3_lib1.final_cell_0230","acinar","inDrop3"
"human3_lib1.final_cell_0231","activated_stellate","inDrop3"
"human3_lib1.final_cell_0246","acinar","inDrop3"
"human3_lib1.final_cell_0254","alpha","inDrop3"
"human3_lib1.final_cell_0262","activated_stellate","inDrop3"
"human3_lib1.final_cell_0272","delta","inDrop3"
"human3_lib1.final_cell_0276","activated_stellate","inDrop3"
"human3_lib1.final_cell_0279","acinar","inDrop3"
"human3_lib1.final_cell_0290","quiescent_stellate","inDrop3"
"human3_lib1.final_cell_0308","ductal","inDrop3"
"human3_lib1.final_cell_0320","endothelial","inDrop3"
"human3_lib1.final_cell_0326","acinar","inDrop3"
"human3_lib1.final_cell_0329","beta","inDrop3"
"human3_lib1.final_cell_0336","alpha","inDrop3"
"human3_lib1.final_cell_0338","ductal","inDrop3"
"human3_lib1.final_cell_0346","activated_stellate","inDrop3"
"human3_lib1.final_cell_0361","activated_stellate","inDrop3"
"human3_lib1.final_cell_0363","alpha","inDrop3"
"human3_lib1.final_cell_0365","activated_stellate","inDrop3"
"human3_lib1.final_cell_0367","alpha","inDrop3"
"human3_lib1.final_cell_0376","ductal","inDrop3"
"human3_lib1.final_cell_0381","activated_stellate","inDrop3"
"human3_lib1.final_cell_0385","acinar","inDrop3"
"human3_lib1.final_cell_0386","alpha","inDrop3"
"human3_lib1.final_cell_0392","activated_stellate","inDrop3"
"human3_lib1.final_cell_0397","activated_stellate","inDrop3"
"human3_lib1.final_cell_0406","delta","inDrop3"
"human3_lib1.final_cell_0413","alpha","inDrop3"
"human3_lib1.final_cell_0430","delta","inDrop3"
"human3_lib1.final_cell_0433","ductal","inDrop3"
"human3_lib1.final_cell_0436","endothelial","inDrop3"
"human3_lib1.final_cell_0439","acinar","inDrop3"
"human3_lib1.final_cell_0447","acinar","inDrop3"
"human3_lib1.final_cell_0448","alpha","inDrop3"
"human3_lib1.final_cell_0452","alpha","inDrop3"
"human3_lib1.final_cell_0453","activated_stellate","inDrop3"
"human3_lib1.final_cell_0456","gamma","inDrop3"
"human3_lib1.final_cell_0458","ductal","inDrop3"
"human3_lib1.final_cell_0462","ductal","inDrop3"
"human3_lib1.final_cell_0463","beta","inDrop3"
"human3_lib1.final_cell_0466","alpha","inDrop3"
"human3_lib1.final_cell_0469","ductal","inDrop3"
"human3_lib1.final_cell_0470","activated_stellate","inDrop3"
"human3_lib1.final_cell_0475","alpha","inDrop3"
"human3_lib1.final_cell_0480","ductal","inDrop3"
"human3_lib1.final_cell_0481","alpha","inDrop3"
"human3_lib1.final_cell_0489","macrophage","inDrop3"
"human3_lib1.final_cell_0499","activated_stellate","inDrop3"
"human3_lib1.final_cell_0501","endothelial","inDrop3"
"human3_lib1.final_cell_0505","acinar","inDrop3"
"human3_lib1.final_cell_0506","alpha","inDrop3"
"human3_lib1.final_cell_0512","gamma","inDrop3"
"human3_lib1.final_cell_0515","ductal","inDrop3"
"human3_lib1.final_cell_0520","endothelial","inDrop3"
"human3_lib1.final_cell_0524","activated_stellate","inDrop3"
"human3_lib1.final_cell_0526","acinar","inDrop3"
"human3_lib1.final_cell_0530","acinar","inDrop3"
"human3_lib1.final_cell_0531","beta","inDrop3"
"human3_lib1.final_cell_0535","delta","inDrop3"
"human3_lib1.final_cell_0536","acinar","inDrop3"
"human3_lib1.final_cell_0540","ductal","inDrop3"
"human3_lib1.final_cell_0550","ductal","inDrop3"
"human3_lib1.final_cell_0553","beta","inDrop3"
"human3_lib1.final_cell_0556","macrophage","inDrop3"
"human3_lib1.final_cell_0557","ductal","inDrop3"
"human3_lib1.final_cell_0560","acinar","inDrop3"
"human3_lib1.final_cell_0562","ductal","inDrop3"
"human3_lib1.final_cell_0563","gamma","inDrop3"
